"month","name","bank","acquired","tenure","title_status","male","rating","branch_id"
1,"B1338","B",0,2.68309377138946,0,0,NA,"10"
1,"B1371","B",0,0.238193018480493,1,1,NA,"14"
1,"B1389","B",0,12.4654346338125,2,0,NA,"12"
1,"B1399","B",0,7.75359342915811,0,0,NA,"3"
1,"B1404","B",0,2.68309377138946,1,0,NA,"15"
1,"B1455","B",0,2.68309377138946,0,0,NA,"10"
1,"B1457","B",0,0.240930869267625,0,0,NA,"16"
1,"B1514","B",0,13.3278576317591,1,0,NA,"3"
1,"B1575","B",0,2.68309377138946,1,0,NA,"10"
1,"B1584","B",0,1.29226557152635,0,0,NA,"11"
1,"B1588","B",0,9.37987679671458,1,0,NA,"12"
1,"B1653","B",0,2.68309377138946,1,0,NA,"17"
1,"B1654","B",0,1.39082819986311,1,0,NA,"16"
1,"B1717","B",0,2.68309377138946,2,0,NA,"3"
1,"B1751","B",0,2.68309377138946,0,0,NA,"8"
1,"B1776","B",0,0.180698151950719,0,1,NA,"5"
1,"B1785","B",0,12.6488706365503,0,0,NA,"3"
1,"B1817","B",0,1.44832306639288,0,1,NA,"3"
1,"B1845","B",0,2.68309377138946,0,0,NA,"10"
1,"B1860","B",0,1.21560574948665,1,1,NA,"18"
1,"B1874","B",0,12.1724845995893,0,0,3.53,"19"
1,"B1875","B",0,2.68309377138946,0,0,NA,"3"
1,"B1878","B",0,2.68309377138946,1,0,3.49,"10"
1,"B1921","B",0,2.25325119780972,0,0,NA,"5"
1,"B1971","B",0,0.758384668035592,0,0,NA,"19"
1,"B2006","B",0,2.53251197809719,0,0,NA,"17"
1,"B2009","B",0,5.42642026009583,0,1,NA,"20"
1,"B2102","B",0,5.70020533880903,0,0,NA,"19"
1,"B2193","B",0,2.68309377138946,1,0,NA,"15"
1,"B2209","B",0,1.86995208761123,1,0,NA,"1"
1,"B2235","B",0,4.99383983572895,1,1,NA,"10"
1,"B2280","B",0,0.251882272416153,0,0,NA,"16"
1,"B2299","B",0,1.56331279945243,0,0,NA,"9"
1,"B2320","B",0,15.356605065024,2,1,4.1,"3"
1,"B2332","B",0,1.71663244353183,1,0,NA,"3"
1,"B2353","B",0,2.68309377138946,1,0,NA,"21"
1,"B2373","B",0,5.1854893908282,0,0,NA,"3"
1,"B2379","B",0,5.43463381245722,0,0,NA,"19"
1,"B2385","B",0,11.2032854209446,0,0,NA,"19"
1,"B2474","B",0,12.5256673511294,2,1,NA,"3"
1,"B2499","B",0,2.80355920602327,0,1,3.15,"3"
1,"B2532","B",0,0.106776180698152,1,0,NA,"22"
1,"B2570","B",0,9.4757015742642,1,0,NA,"11"
1,"B2624","B",0,11.4140999315537,1,1,NA,"3"
1,"B2661","B",0,3.39767282683094,0,0,NA,"19"
1,"B2667","B",0,8.42162902121834,0,0,NA,"3"
1,"B2708","B",0,5.05133470225873,0,0,NA,"3"
1,"B2742","B",0,4.5284052019165,0,0,NA,"13"
1,"B2754","B",0,2.68309377138946,2,1,NA,"1"
1,"B2771","B",0,2.68309377138946,0,0,NA,"10"
1,"B2786","B",0,8.5284052019165,2,1,3.43,"3"
1,"B2805","B",0,8.15605749486653,2,0,3.79,"3"
1,"B2818","B",0,1.11430527036277,0,1,NA,"15"
1,"B2819","B",0,2.68309377138946,1,0,NA,"14"
1,"B2825","B",0,1.65913757700205,1,0,NA,"8"
1,"B2834","B",0,7.46338124572211,2,1,NA,"1"
1,"B2859","B",0,4.55030800821355,0,1,NA,"18"
1,"B2966","B",0,14.6803559206023,0,0,NA,"7"
1,"B3005","B",0,5.43463381245722,0,0,NA,"6"
1,"B3063","B",0,12.331279945243,2,1,NA,"3"
1,"B3098","B",0,3.66872005475702,1,1,NA,"1"
1,"B3151","B",0,1.56331279945243,0,0,NA,"8"
1,"B3164","B",0,0.75564681724846,0,1,NA,"3"
1,"B3256","B",0,2.68309377138946,1,0,NA,"2"
1,"B3325","B",0,9.5523613963039,1,0,NA,"11"
1,"B3333","B",0,1.637234770705,0,0,NA,"14"
1,"B3447","B",0,11.4305270362765,2,0,NA,"3"
1,"B3481","B",0,1.83162217659138,0,0,NA,"19"
1,"B3532","B",0,10.4284736481862,2,1,3.45,"3"
1,"B3590","B",0,2.68309377138946,0,0,NA,"8"
1,"B3599","B",0,4.43805612594114,1,0,NA,"18"
1,"B3646","B",0,2.68309377138946,2,1,NA,"17"
1,"B3712","B",0,0.54757015742642,0,1,NA,"16"
1,"B3753","B",0,1.67008898015058,2,1,3.5,"3"
1,"B3763","B",0,2.68309377138946,0,0,NA,"1"
1,"B3830","B",0,1.40451745379877,0,0,NA,"3"
1,"B3953","B",0,10.3408624229979,2,1,NA,"3"
1,"B3961","B",0,2.68309377138946,0,0,NA,"10"
1,"B4025","B",0,2.68309377138946,0,0,3.23,"10"
1,"B4027","B",0,4.45722108145106,2,1,NA,"6"
1,"B4057","B",0,4.38056125941136,0,0,NA,"3"
1,"B4089","B",0,0.462696783025325,2,0,3.3,"3"
1,"B4097","B",0,1.68925393566051,0,0,NA,"10"
1,"B4104","B",0,1.75222450376454,1,0,NA,"19"
1,"B4106","B",0,2.68309377138946,0,0,NA,"10"
1,"B4132","B",0,1.23203285420945,1,0,NA,"16"
1,"B4144","B",0,12.8898015058179,2,1,NA,"3"
1,"B4179","B",0,1.73579739904175,0,0,NA,"21"
1,"B4213","B",0,11.9507186858316,2,0,3.79,"1"
1,"B4228","B",0,2.23408624229979,2,1,NA,"10"
1,"B4265","B",0,2.68309377138946,0,0,NA,"17"
1,"B4270","B",0,14.2505133470226,1,0,NA,"7"
1,"B4406","B",0,0.279260780287474,0,1,NA,"19"
1,"B4427","B",0,1.6208076659822,0,1,NA,"3"
1,"B4439","B",0,8.76112251882272,2,1,3.92,"3"
1,"B4440","B",0,12.104038329911,2,1,NA,"3"
1,"B4445","B",0,11.3730321697467,0,0,NA,"3"
1,"B4462","B",0,5.43463381245722,0,0,NA,"18"
1,"B4469","B",0,2.68309377138946,1,0,NA,"5"
1,"B4492","B",0,0.334017796030116,0,1,NA,"10"
1,"B4505","B",0,8.2299794661191,0,0,NA,"3"
1,"B4509","B",0,4.9555099247091,0,0,NA,"19"
1,"B4540","B",0,11.4113620807666,1,0,NA,"12"
1,"B4631","B",0,2.28336755646817,0,0,NA,"19"
1,"B4674","B",0,2.68309377138946,0,0,NA,"10"
1,"B4723","B",0,9.57152635181383,0,1,NA,"3"
1,"B4852","B",0,1.39082819986311,0,1,3.03,"3"
1,"B4866","B",0,0.662559890485969,0,0,NA,"19"
1,"B4921","B",0,2.68309377138946,2,1,NA,"4"
1,"B4980","B",0,1.3305954825462,0,0,NA,"21"
1,"B4998","B",0,15.7289527720739,2,1,NA,"3"
1,"B5036","B",0,5.48665297741273,2,0,NA,"16"
1,"B5089","B",0,0.432580424366872,0,0,NA,"4"
1,"B5141","B",0,3.87953456536619,0,0,NA,"12"
1,"B5145","B",0,2.68309377138946,1,0,NA,"14"
1,"B5181","B",0,0.123203285420945,1,0,NA,"13"
1,"B5192","B",0,4.79397672826831,0,1,NA,"3"
1,"B5197","B",0,0.621492128678987,1,0,NA,"9"
1,"B5261","B",0,5.39356605065024,1,1,NA,"7"
1,"B5306","B",0,1.92470910335387,1,0,3.68,"3"
1,"B5314","B",0,3.84394250513347,1,1,NA,"18"
1,"B5345","B",0,2.68309377138946,0,0,NA,"10"
1,"B5397","B",0,2.68309377138946,0,0,NA,"1"
1,"B5436","B",0,9.90006844626968,2,0,NA,"3"
1,"B5445","B",0,3.74811772758385,1,0,NA,"12"
1,"B5447","B",0,3.15126625598905,0,0,NA,"3"
1,"B5461","B",0,0.947296372347707,0,0,2.82,"19"
1,"B5470","B",0,0.676249144421629,0,0,NA,"3"
1,"B5471","B",0,0.314852840520192,0,0,NA,"19"
1,"B5482","B",0,3.69062286105407,0,1,NA,"3"
1,"B5523","B",0,2.68309377138946,0,0,NA,"10"
1,"B5575","B",0,0.621492128678987,0,1,NA,"3"
1,"B5578","B",0,0.906228610540726,1,0,NA,"8"
1,"B5588","B",0,1.54140999315537,0,0,NA,"16"
1,"B5651","B",0,2.40657084188912,1,1,NA,"19"
1,"B5749","B",0,0.616016427104723,0,0,NA,"3"
1,"B5754","B",0,2.68309377138946,1,0,NA,"5"
1,"B5761","B",0,2.32717316906229,0,0,NA,"12"
1,"B5775","B",0,14.4804928131417,0,0,NA,"7"
1,"B5807","B",0,0.164271047227926,0,0,NA,"5"
1,"B5810","B",0,4.8186173853525,1,0,NA,"19"
1,"B5861","B",0,2.29158110882957,1,0,NA,"20"
1,"B5865","B",0,2.80903490759754,0,0,NA,"19"
1,"B5910","B",0,3.57563312799452,0,1,NA,"3"
1,"B5976","B",0,3.92881587953457,0,0,NA,"19"
1,"B5986","B",0,5.29500342231348,2,1,3.94,"20"
1,"B6063","B",0,2.68309377138946,2,1,NA,"17"
1,"B6064","B",0,0.525667351129363,0,1,NA,"3"
1,"B6095","B",0,12.0657084188912,1,0,NA,"7"
1,"B6176","B",0,5.5441478439425,0,1,NA,"3"
1,"B6195","B",0,1.40451745379877,0,0,NA,"19"
1,"B6234","B",0,10.2039698836413,0,0,NA,"3"
1,"B6276","B",0,15.3429158110883,2,1,3.61,"3"
1,"B6290","B",0,0.810403832991102,0,0,NA,"19"
1,"B6292","B",0,3.57563312799452,0,1,NA,"3"
1,"B6340","B",0,2.68309377138946,0,0,NA,"14"
1,"B6348","B",0,1.75496235455168,1,0,NA,"6"
1,"B6351","B",0,3.99452429842574,2,0,3.77,"19"
1,"B6431","B",0,2.68309377138946,1,0,NA,"10"
1,"B6465","B",0,7.58658453114305,0,0,NA,"22"
1,"B6483","B",0,2.68309377138946,0,1,3.15,"3"
1,"B6539","B",0,2.23408624229979,0,0,NA,"1"
1,"B6564","B",0,8.49828884325804,1,0,NA,"9"
1,"B6574","B",0,12.2573579739904,0,0,NA,"3"
1,"B6576","B",0,0.180698151950719,0,0,NA,"18"
1,"B6623","B",0,6.17111567419576,2,1,NA,"3"
1,"B6628","B",0,3.15126625598905,0,0,NA,"19"
1,"B6655","B",0,0.602327173169062,0,1,NA,"3"
1,"B6682","B",0,2.82546201232033,0,0,NA,"19"
1,"B6735","B",0,0.39151266255989,0,0,NA,"13"
1,"B6774","B",0,1.8590006844627,0,0,NA,"20"
1,"B6842","B",0,9.34154688569473,0,1,NA,"3"
1,"B6895","B",0,12.0657084188912,0,0,2.87,"7"
1,"B6908","B",0,10.2833675564682,2,1,3.89,"3"
1,"B6917","B",0,1.6208076659822,2,1,3.44,"3"
1,"B6919","B",0,2.67214236824093,0,0,NA,"3"
1,"B6932","B",0,15.3812457221081,0,0,4.19,"3"
1,"B6946","B",0,2.01505817932923,1,0,2.79,"3"
1,"B6963","B",0,13.8672142368241,0,0,NA,"3"
1,"B7050","B",0,2.68309377138946,1,0,NA,"4"
1,"B7065","B",0,2.42026009582478,1,0,NA,"20"
1,"B7096","B",0,15.7289527720739,2,1,NA,"3"
1,"B7144","B",0,11.1266255989049,2,1,3.28,"19"
1,"B7149","B",0,2.68309377138946,0,0,NA,"14"
1,"B7157","B",0,2.68309377138946,0,0,NA,"4"
1,"B7194","B",0,2.68309377138946,2,1,NA,"1"
1,"B7196","B",0,2.68309377138946,2,0,3.53,"10"
1,"B7201","B",0,14.6995208761123,2,1,3.01,"7"
1,"B7202","B",0,2.68309377138946,0,0,NA,"10"
1,"B7329","B",0,12.0657084188912,1,0,NA,"13"
1,"B7366","B",0,8.55852156057495,1,1,4.03,"3"
1,"B7369","B",0,8.08761122518823,0,0,NA,"3"
1,"B7514","B",0,5.43463381245722,0,0,NA,"19"
1,"B7516","B",0,4.26283367556468,2,1,NA,"6"
1,"B7517","B",0,2.17659137577002,2,1,NA,"14"
1,"B7530","B",0,1.00752908966461,0,1,NA,"19"
1,"B7648","B",0,9.4757015742642,1,0,NA,"11"
1,"B7654","B",0,2.68309377138946,0,0,NA,"2"
1,"B7683","B",0,5.56605065023956,1,0,NA,"3"
1,"B7706","B",0,8.62422997946612,0,0,NA,"3"
1,"B7718","B",0,8.28747433264887,0,1,NA,"3"
1,"B7725","B",0,2.23408624229979,0,0,NA,"3"
1,"B7760","B",0,0.602327173169062,0,1,NA,"19"
1,"B7765","B",0,1.34702258726899,0,0,NA,"21"
1,"B7769","B",0,13.2511978097194,2,1,NA,"3"
1,"B7778","B",0,0.490075290896646,1,1,3.24,"3"
1,"B7785","B",0,0.0301163586584531,0,0,NA,"19"
1,"B7812","B",0,-0.0465434633812457,0,0,NA,"10"
1,"B7829","B",0,0.180698151950719,0,0,NA,"15"
1,"B7831","B",0,2.68309377138946,2,0,3.41,"10"
1,"B7852","B",0,4.35865845311431,0,1,NA,"19"
1,"B7854","B",0,2.68309377138946,1,0,NA,"10"
1,"B7977","B",0,3.00889801505818,0,1,3.37,"3"
1,"B7983","B",0,7.9233401779603,0,0,NA,"3"
1,"B8002","B",0,0.717316906228611,0,0,NA,"20"
1,"B8090","B",0,6.91033538672142,2,0,NA,"3"
1,"B8157","B",0,2.91854893908282,1,1,3.36,"3"
1,"B8161","B",0,5.43463381245722,0,0,NA,"19"
1,"B8167","B",0,11.2224503764545,1,0,NA,"19"
1,"B8205","B",0,0.985626283367556,0,0,2.75,"12"
1,"B8210","B",0,2.68309377138946,1,0,NA,"14"
1,"B8282","B",0,15.2224503764545,2,1,NA,"3"
1,"B8299","B",0,2.68309377138946,0,0,NA,"10"
1,"B8341","B",0,2.13826146475017,1,0,NA,"18"
1,"B8460","B",0,2.68309377138946,1,0,NA,"10"
1,"B8477","B",0,2.68309377138946,0,0,NA,"10"
1,"B8559","B",0,0.736481861738535,2,0,3.19,"3"
1,"B8565","B",0,2.68309377138946,1,0,NA,"10"
1,"B8594","B",0,4.48733744010951,1,1,NA,"20"
1,"B8704","B",0,7.58658453114305,2,1,NA,"22"
1,"B8723","B",0,0.276522929500342,0,1,NA,"10"
1,"B8748","B",0,4.18343600273785,0,1,3.43,"3"
1,"B8771","B",0,7.80561259411362,1,0,NA,"9"
1,"B8890","B",0,10.3764544832307,2,1,NA,"3"
1,"B8896","B",0,2.53251197809719,2,0,NA,"3"
1,"B8936","B",0,2.68309377138946,0,0,NA,"10"
1,"B8943","B",0,3.51813826146475,1,0,NA,"16"
1,"B8954","B",0,1.73579739904175,1,1,NA,"3"
1,"B9024","B",0,11.2580424366872,0,0,NA,"3"
1,"B9111","B",0,15.3045859000684,0,1,NA,"19"
1,"B9122","B",0,1.03490759753593,1,0,3.26,"3"
1,"B9137","B",0,2.68309377138946,2,1,NA,"10"
1,"B9157","B",0,0.298425735797399,0,0,NA,"15"
1,"B9184","B",0,0.583162217659138,0,0,NA,"3"
1,"B9252","B",0,9.57426420260096,1,1,2.93,"7"
1,"B9258","B",0,9.5523613963039,0,0,NA,"19"
1,"B9318","B",0,2.8062970568104,1,0,NA,"19"
1,"B9328","B",0,1.46475017111567,0,0,NA,"3"
1,"B9490","B",0,2.68309377138946,1,0,NA,"4"
1,"B9502","B",0,2.68309377138946,1,1,NA,"17"
1,"B9584","B",0,5.22381930184805,2,1,NA,"3"
1,"B9586","B",0,12.6789869952088,0,0,NA,"3"
1,"B9607","B",0,0.446269678302533,0,0,NA,"19"
1,"B9624","B",0,9.65092402464066,2,0,NA,"11"
1,"B9692","B",0,0.563997262149213,0,1,NA,"21"
1,"B9705","B",0,10.5872689938398,0,0,NA,"3"
1,"B9710","B",0,0.180698151950719,0,0,NA,"2"
1,"B9726","B",0,1.23750855578371,1,0,NA,"3"
1,"B9801","B",0,12.7748117727584,0,0,NA,"3"
1,"L0039","L",1,5.74948665297741,1,0,NA,"23"
1,"L0080","L",1,5.24298425735797,0,0,NA,"24"
1,"L0105","L",1,0.26009582477755,0,0,NA,"23"
1,"L0125","L",1,8.1533196440794,0,0,NA,"23"
1,"L0132","L",1,2.30800821355236,0,0,NA,"25"
1,"L0146","L",1,16.3969883641342,0,0,NA,"23"
1,"L0199","L",1,2.57905544147844,0,0,NA,"23"
1,"L0205","L",1,30.7898699520876,1,0,NA,"23"
1,"L0235","L",1,18.1218343600274,0,1,NA,"23"
1,"L0240","L",1,4.31485284052019,0,0,NA,"26"
1,"L0242","L",1,3.41957563312799,0,0,NA,"26"
1,"L0265","L",1,0.0739219712525667,1,1,NA,"23"
1,"L0266","L",1,0.720054757015743,0,0,NA,"23"
1,"L0310","L",1,33.5112936344969,0,0,NA,"23"
1,"L0405","L",1,3.4798083504449,0,0,NA,"26"
1,"L0444","L",1,4.34223134839151,1,0,NA,"24"
1,"L0484","L",1,6.23682409308693,0,0,NA,"27"
1,"L0514","L",1,28.9774127310062,1,0,NA,"28"
1,"L0519","L",1,19.5592060232717,0,0,NA,"23"
1,"L0526","L",1,4.64887063655031,1,0,NA,"43"
1,"L0548","L",1,0.662559890485969,0,0,NA,"23"
1,"L0554","L",1,13.6125941136208,2,0,NA,"26"
1,"L0565","L",1,29.2511978097194,2,0,NA,"23"
1,"L0590","L",1,16.1286789869952,0,0,NA,"26"
1,"L0641","L",1,11.7973990417522,2,0,NA,"30"
1,"L0689","L",1,0.739219712525667,1,0,NA,"23"
1,"L0714","L",1,0.988364134154689,1,1,NA,"37"
1,"L0730","L",1,22.6201232032854,2,0,NA,"23"
1,"L0780","L",1,7.59479808350445,2,1,NA,"30"
1,"L0797","L",1,2.1574264202601,0,0,NA,"30"
1,"L0801","L",1,22.3572895277207,1,0,NA,"31"
1,"L0845","L",1,0.0739219712525667,1,0,NA,"29"
1,"L0854","L",1,10.072553045859,1,0,NA,"32"
1,"L0883","L",1,8.48186173853525,1,0,NA,"30"
1,"L0892","L",1,7.83025325119781,1,0,NA,"33"
1,"L0935","L",1,0.87337440109514,2,0,NA,"26"
1,"L0982","L",1,16.6078028747433,1,1,NA,"23"
1,"L1005","L",1,0.58590006844627,0,0,NA,"35"
1,"L1010","L",1,32.5667351129363,2,0,NA,"23"
1,"L1046","L",1,28.3805612594114,2,1,NA,"23"
1,"L1178","L",1,0.240930869267625,0,0,NA,"26"
1,"L1273","L",1,42.4996577686516,0,0,NA,"23"
1,"L1285","L",1,0.470910335386721,2,0,NA,"23"
1,"L1309","L",1,11.0499657768652,1,0,NA,"36"
1,"L1334","L",1,15.3210130047912,1,0,NA,"23"
1,"L1355","L",1,8.59411362080767,2,0,NA,"30"
1,"L1383","L",1,1.79329226557153,2,1,NA,"30"
1,"L1418","L",1,17.719370294319,2,1,NA,"30"
1,"L1431","L",1,2.75154004106776,0,1,NA,"37"
1,"L1481","L",1,26.6502395619439,1,0,NA,"23"
1,"L1489","L",1,12.8980150581793,1,0,NA,"44"
1,"L1509","L",1,0.298425735797399,0,0,NA,"37"
1,"L1531","L",1,5.58521560574949,2,1,NA,"38"
1,"L1568","L",1,-0.0082135523613963,0,1,NA,"24"
1,"L1611","L",1,2.0807665982204,1,0,NA,"23"
1,"L1627","L",1,-0.0082135523613963,0,0,NA,"44"
1,"L1632","L",1,1.86173853524983,2,1,NA,"38"
1,"L1640","L",1,5.56878850102669,1,0,NA,"39"
1,"L1652","L",1,8.25188227241615,1,0,NA,"39"
1,"L1670","L",1,10.0917180013689,0,0,NA,"23"
1,"L1730","L",1,20.9007529089665,2,1,NA,"23"
1,"L1746","L",1,21.264887063655,2,0,NA,"37"
1,"L1781","L",1,10.2450376454483,2,0,NA,"35"
1,"L1837","L",1,2.1574264202601,1,0,NA,"30"
1,"L1892","L",1,3.38398357289528,1,0,NA,"36"
1,"L1906","L",1,1.16084873374401,2,1,NA,"38"
1,"L1917","L",1,1.81245722108145,0,0,NA,"30"
1,"L1989","L",1,8.48186173853525,1,0,NA,"41"
1,"L2125","L",1,42.6694045174538,0,0,NA,"23"
1,"L2139","L",1,0.0739219712525667,1,0,NA,"29"
1,"L2161","L",1,2.25325119780972,1,0,NA,"26"
1,"L2187","L",1,2.1574264202601,1,1,NA,"32"
1,"L2203","L",1,5.16632443531828,1,1,NA,"23"
1,"L2204","L",1,12.104038329911,0,0,NA,"23"
1,"L2213","L",1,6.08624229979466,1,0,NA,"26"
1,"L2241","L",1,42.5763175906913,0,0,NA,"23"
1,"L2277","L",1,5.30047912388775,2,1,NA,"30"
1,"L2293","L",1,16.2628336755647,2,0,NA,"30"
1,"L2355","L",1,36.5557837097878,0,0,NA,"35"
1,"L2397","L",1,0.432580424366872,0,0,NA,"28"
1,"L2402","L",1,5.43189596167009,1,0,NA,"24"
1,"L2446","L",1,18.7926078028747,2,1,NA,"23"
1,"L2451","L",1,41.8288843258042,2,1,NA,"23"
1,"L2547","L",1,7.17316906228611,1,1,NA,"33"
1,"L2563","L",1,3.95893223819302,0,0,NA,"30"
1,"L2591","L",1,0.432580424366872,0,0,NA,"41"
1,"L2604","L",1,2.99520876112252,1,0,NA,"23"
1,"L2605","L",1,5.4154688569473,1,0,NA,"33"
1,"L2645","L",1,2.71321013004791,1,1,NA,"23"
1,"L2679","L",1,6.33538672142368,2,0,NA,"26"
1,"L2761","L",1,27.1403148528405,2,0,NA,"23"
1,"L2762","L",1,1.83162217659138,0,1,NA,"23"
1,"L2775","L",1,1.58247775496235,0,0,NA,"30"
1,"L2787","L",1,8.61054072553046,0,0,NA,"23"
1,"L2799","L",1,1.12251882272416,0,0,NA,"23"
1,"L2806","L",1,17.3744010951403,0,0,NA,"32"
1,"L2869","L",1,13.6098562628337,0,0,NA,"26"
1,"L2901","L",1,1.25667351129363,0,1,NA,"24"
1,"L2916","L",1,0.0739219712525667,0,0,NA,"35"
1,"L3004","L",1,10.7816563997262,0,0,NA,"32"
1,"L3117","L",1,13.388090349076,0,0,NA,"23"
1,"L3125","L",1,13.4236824093087,2,0,NA,"30"
1,"L3199","L",1,17.5085557837098,0,0,NA,"23"
1,"L3244","L",1,2.71321013004791,1,0,NA,"32"
1,"L3359","L",1,6.45037645448323,2,1,NA,"34"
1,"L3402","L",1,5.35797399041752,2,1,NA,"23"
1,"L3428","L",1,9.57426420260096,1,0,NA,"23"
1,"L3444","L",1,37.3826146475017,0,0,NA,"23"
1,"L3449","L",1,4.64887063655031,2,1,NA,"32"
1,"L3557","L",1,1.00205338809035,1,0,NA,"30"
1,"L3666","L",1,1.00205338809035,0,0,NA,"26"
1,"L3706","L",1,0.0109514031485284,0,0,NA,"23"
1,"L3749","L",1,1.16084873374401,0,0,NA,"39"
1,"L3948","L",1,2.75154004106776,1,0,NA,"38"
1,"L3969","L",1,13.3853524982888,0,0,NA,"31"
1,"L4016","L",1,28.4517453798768,0,0,NA,"23"
1,"L4047","L",1,27.62765229295,0,0,NA,"27"
1,"L4086","L",1,1.58247775496235,0,0,NA,"23"
1,"L4096","L",1,0.700889801505818,0,0,NA,"37"
1,"L4099","L",1,2.48323066392882,0,0,NA,"41"
1,"L4100","L",1,4.99383983572895,0,0,NA,"23"
1,"L4152","L",1,38.9267624914442,2,0,NA,"35"
1,"L4177","L",1,14.7488021902806,0,0,NA,"23"
1,"L4214","L",1,0.854209445585216,0,0,NA,"23"
1,"L4222","L",1,27.3702943189596,0,0,NA,"23"
1,"L4303","L",1,35.5619438740589,1,0,NA,"41"
1,"L4339","L",1,41.6700889801506,0,0,NA,"23"
1,"L4348","L",1,11.9507186858316,0,0,NA,"23"
1,"L4350","L",1,0.0739219712525667,2,1,NA,"35"
1,"L4437","L",1,8.19438740588638,2,1,NA,"23"
1,"L4448","L",1,0.681724845995893,0,0,NA,"30"
1,"L4546","L",1,3.90143737166324,0,0,NA,"39"
1,"L4635","L",1,24.8815879534565,2,0,NA,"23"
1,"L4685","L",1,19.9041752224504,0,0,NA,"33"
1,"L4688","L",1,37.3442847364819,0,0,NA,"23"
1,"L4715","L",1,9.36344969199179,2,1,NA,"23"
1,"L4748","L",1,9.57426420260096,2,1,NA,"30"
1,"L4750","L",1,0.145106091718001,1,0,NA,"26"
1,"L4760","L",1,8.290212183436,2,0,NA,"23"
1,"L4843","L",1,35.791923340178,0,0,NA,"23"
1,"L4846","L",1,10.1108829568789,0,0,NA,"26"
1,"L4939","L",1,5.56878850102669,0,0,NA,"23"
1,"L4943","L",1,31.1649555099247,0,0,NA,"32"
1,"L4958","L",1,11.2607802874743,1,0,NA,"27"
1,"L4981","L",1,15.7262149212868,0,0,NA,"23"
1,"L5015","L",1,5.90554414784394,1,1,NA,"37"
1,"L5063","L",1,12.104038329911,1,0,NA,"35"
1,"L5069","L",1,9.30595482546201,0,0,NA,"30"
1,"L5100","L",1,8.34770704996578,1,0,NA,"38"
1,"L5123","L",1,0.31211498973306,0,0,NA,"42"
1,"L5183","L",1,1.27583846680356,2,0,NA,"32"
1,"L5193","L",1,14.0944558521561,0,1,NA,"23"
1,"L5221","L",1,2.66666666666667,1,0,NA,"34"
1,"L5262","L",1,12.3285420944559,1,1,NA,"23"
1,"L5382","L",1,21.6481861738535,2,0,NA,"30"
1,"L5392","L",1,12.6789869952088,1,0,NA,"40"
1,"L5403","L",1,0.0739219712525667,1,0,NA,"35"
1,"L5405","L",1,0.985626283367556,0,0,NA,"41"
1,"L5406","L",1,9.90006844626968,2,1,NA,"30"
1,"L5419","L",1,0.0739219712525667,1,0,NA,"45"
1,"L5430","L",1,0.0301163586584531,0,0,NA,"34"
1,"L5432","L",1,7.90691307323751,1,0,NA,"27"
1,"L5481","L",1,1.83162217659138,2,0,NA,"30"
1,"L5528","L",1,7.13757700205339,0,0,NA,"30"
1,"L5550","L",1,20.4928131416838,2,1,NA,"30"
1,"L5645","L",1,0.0739219712525667,1,0,NA,"35"
1,"L5653","L",1,2.0807665982204,0,0,NA,"36"
1,"L5661","L",1,44.5859000684463,2,1,NA,"23"
1,"L5673","L",1,1.77138945927447,1,0,NA,"36"
1,"L5742","L",1,17.6016427104723,0,0,NA,"23"
