S. No.,Message_body,Label,sender,receivers,month,to_L,to_T
79,Marvel Mobile Play the official Ultimate Spider-man game (�4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,Spam,B2532,L0689,1,0,0
80,U studying in sch or going home? Anyway i'll b going 2 sch later.,Non-Spam,B2570,L0714,1,0,0
81,K. I will sent it again,Non-Spam,B2624,L0730,1,0,0
82,Oh thanks a lot..i already bought 2 eggs ..,Non-Spam,B2661,L0797,1,0,0
83,K. I will sent it again,Non-Spam,B2667,L0801,1,0,0
84,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,Spam,B2708,L0845,1,0,0
85,Ofcourse I also upload some songs,Non-Spam,B2742,L0854,1,0,0
86,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,Non-Spam,B2754,L0879,1,0,0
87,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",Non-Spam,B2765,L0883,1,0,0
88,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,Non-Spam,B2771,L0892,1,0,0
89,URGENT We are trying to contact you Last weekends draw shows u have won a �1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,Spam,B2786,L0935,1,0,0
90,Shall call now dear having food,Non-Spam,B2805,L0982,1,0,0
91,Have you seen who's back at Holby?!,Non-Spam,B2819,L1005,1,0,0
92,Really do hope the work doesnt get stressful. Have a gr8 day.,Non-Spam,B2825,L1010,1,0,0
93,No probably  &lt;#&gt; %.,Non-Spam,B2834,L1046,1,0,0
94,What Today-sunday..sunday is holiday..so no work..,Non-Spam,B2859,L1178,1,0,0
95,Yes princess! I want to please you every night. Your wish is my command...,Non-Spam,B2966,L1273,1,0,0
96,Dhoni have luck to win some big title.so we will win:),Non-Spam,B3005,L1285,1,0,0
97,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,Non-Spam,B3063,L1309,1,0,0
98,Ok lor � reaching then message me.,Non-Spam,B3098,L1316,1,0,0
99,Well obviously not because all the people in my cool college life went home ;_;,Non-Spam,B3151,L1334,1,0,0
100,Yup,Non-Spam,B3164,L1355,1,0,0
101,I thought slide is enough.,Non-Spam,B3256,L1418,1,0,0
102,Ok lor.,Non-Spam,B3325,L1431,1,0,0
103,"URGENT! Last weekend's draw shows that you have won �1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",Spam,B3333,L1481,1,0,0
104,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth �33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam,B3447,L1489,1,0,0
105,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true�C C Ringtone�,Spam,B3481,L1531,1,0,0
106,Shall I bring us a bottle of wine to keep us amused? Only joking! I�ll bring one anyway,Non-Spam,B3532,L1568,1,0,0
107,I will treasure every moment we spend together...,Non-Spam,B3590,L1627,1,0,0
108,U GOIN OUT 2NITE?,Non-Spam,B3599,L1632,1,0,0
109,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,Spam,B3646,L1640,1,0,0
110,Ok i thk i got it. Then u wan me 2 come now or wat?,Non-Spam,B3753,L1652,1,0,0
111,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,Spam,B3763,L1670,1,0,0
112,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,Non-Spam,B3830,L1730,1,0,0
113,"Sorry, I'll call later",Non-Spam,B3953,L1746,1,0,0
114,Arun can u transfr me d amt,Non-Spam,B3961,L1781,1,0,0
115,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,Spam,B4025,L1837,1,0,0
116,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Non-Spam,B4027,L1892,1,0,0
117,Im just wondering what your doing right now?,Non-Spam,B4057,L1906,1,0,0
118,Except theres a chick with huge boobs.,Non-Spam,B4089,L1917,1,0,0
119,What???? Hello wats talks email address?,Non-Spam,B4097,L1989,1,0,0
120,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,Non-Spam,B4104,L2125,1,0,0
121,Sac needs to carry on:),Non-Spam,B4106,L2139,1,0,0
122,"Latest News! Police station toilet stolen, cops have nothing to go on!",Spam,B4132,L2187,1,0,0
123,"aight we can pick some up, you open before tonight?",Non-Spam,B4144,L2203,1,0,0
124,So that takes away some money worries,Non-Spam,B4179,L2204,1,0,0
125,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,Non-Spam,B4213,L2213,1,0,0
126,"And that's fine, I got enough bud to last most of the night at least",Non-Spam,B4228,L2241,1,0,0
127,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,Non-Spam,B4265,L2277,1,0,0
128,You have won a guaranteed 32000 award or maybe even �1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,Spam,B4270,L2293,1,0,0
129,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",Non-Spam,B4406,L2355,1,0,0
130,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",Non-Spam,B4427,L2397,1,0,0
131,Thank you. do you generally date the brothas?,Non-Spam,B4439,L2402,1,0,0
132,Hey i've booked the 2 lessons on sun liao...,Non-Spam,B4440,L2446,1,0,0
133,What are youdoing later? Sar xxx,Non-Spam,B4445,L2451,1,0,0
134,Am slow in using biola's fne,Non-Spam,B4462,L2547,1,0,0
135,Mode men or have you left.,Non-Spam,B4469,L2591,1,0,0
136,I'm wif him now buying tix lar...,Non-Spam,B4492,L2604,1,0,0
137,Jesus armand really is trying to tell everybody he can find,Non-Spam,B4505,L2605,1,0,0
138,You're gonna have to be way more specific than that,Non-Spam,B4509,L2679,1,0,0
139,Thanx a lot 4 ur help!,Non-Spam,B4540,L2761,1,0,0
140,If I was I wasn't paying attention,Non-Spam,B4631,L2762,1,0,0
141,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",Non-Spam,B4674,L2775,1,0,0
142,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",Non-Spam,B4723,L2787,1,0,0
143,You didnt complete your gist oh.,Non-Spam,B4852,L2799,1,0,0
144,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,Spam,B4866,L2806,1,0,0
145,Oh yeah! And my diet just flew out the window,Non-Spam,B4921,L2869,1,0,0
146,Otherwise had part time job na-tuition..,Non-Spam,B4980,L2901,1,0,0
147,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,Non-Spam,B4998,L2916,1,0,0
148,"Sorry, I'll call later",Non-Spam,B5036,L3004,1,0,0
149,Ok k..sry i knw 2 siva..tats y i askd..,Non-Spam,B5089,L3117,1,0,0
150,"Hi elaine, is today's meeting confirmed?",Non-Spam,B5141,L3125,1,0,0
151,I dont know oh. Hopefully this month.,Non-Spam,B5145,L3199,1,0,0
152,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),Non-Spam,B5181,L3235,1,0,0
153,So how are you really. What are you up to. How's the masters. And so on.,Non-Spam,B5192,L3244,1,0,0
154,Nope. I just forgot. Will show next week,Non-Spam,B5197,L3359,1,0,0
155,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,Non-Spam,B5261,L3428,1,0,0
156,You should get more chicken broth if you want ramen unless there's some I don't know about,Non-Spam,B5306,L3444,1,0,0
157,East coast,Non-Spam,B5314,L3449,1,0,0
158,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,Non-Spam,B5345,L3557,1,0,0
159,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,Non-Spam,B5397,L3666,1,0,0
160,I ask if u meeting da ge tmr nite...,Non-Spam,B5436,L3706,1,0,0
161,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",Non-Spam,B5445,L3749,1,0,0
162,There is a first time for everything :),Non-Spam,B5447,L3948,1,0,0
163,... Are you in the pub?,Non-Spam,B5461,L3969,1,0,0
164,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if � leaving earlier or wat mah cos mayb � haf to walk v far...,Non-Spam,B5470,L4016,1,0,0
165,Dear are you angry i was busy dear,Non-Spam,B5471,L4047,1,0,0
166,So how many days since then?,Non-Spam,B5482,L4086,1,0,0
167,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,Non-Spam,B5523,L4096,1,0,0
168,So gd got free ice cream... I oso wan...,Non-Spam,B5575,L4099,1,0,0
169,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,Non-Spam,B5578,L4100,1,0,0
170,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,Non-Spam,B5588,L4152,1,0,0
171,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,Non-Spam,B5651,L4177,1,0,0
172,And he's apparently bffs with carly quick now,Non-Spam,B5749,L4214,1,0,0
173,Hi. Hope you had a good day. Have a better night.,Non-Spam,B5754,L4222,1,0,0
174,That's necessarily respectful,Non-Spam,B5761,L4303,1,0,0
175,As in i want custom officer discount oh.,Non-Spam,B5775,L4339,1,0,0
176,Dunno lei shd b driving lor cos i go sch 1 hr oni.,Non-Spam,B5807,L4348,1,0,0
177,I dont know exactly could you ask chechi.,Non-Spam,B5810,L4350,1,0,0
178,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",Non-Spam,B5861,L4437,1,0,0
179,Ooooooh I forgot to tell u I can get on yoville on my phone,Non-Spam,B5865,L4448,1,0,0
180,Watching ajith film ah?,Non-Spam,B5910,L4546,1,0,0
181,Nt joking seriously i told,Non-Spam,B5976,L4635,1,0,0
182,Ok.ok ok..then..whats ur todays plan,Non-Spam,B5986,L4685,1,0,0
183,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,Non-Spam,B6063,L4688,1,0,0
184,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,Non-Spam,B6064,L4715,1,0,0
185,I'm at work. Please call,Non-Spam,B6095,L4748,1,0,0
186,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,Non-Spam,B6176,L4750,1,0,0
187,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.I�m knackered and i�m dreading work tonight. What are thou upto tonight. X,Non-Spam,B6195,L4760,1,0,0
188,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,Non-Spam,B6234,L4843,1,0,0
189,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",Non-Spam,B6276,L4846,1,0,0
190,You have 1 new message. Call 0207-083-6089,Spam,B6290,L4939,1,0,0
191,Its sunny in california. The weather's just cool,Non-Spam,B6292,L4943,1,0,0
192,Somebody set up a website where you can play hold em using eve online spacebucks,Non-Spam,B6340,L4958,1,0,0
193,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or �250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",Spam,B6348,L4981,1,0,0
194,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,Spam,B6351,L5015,1,0,0
195,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,Non-Spam,B6431,L5063,1,0,0
196,I cant pick the phone right now. Pls send a message,Non-Spam,B6465,L5069,1,0,0
197,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,Non-Spam,B6483,L5100,1,0,0
198,"K I'll head out in a few mins, see you there",Non-Spam,B6539,L5123,1,0,0
199,"Ok., is any problem to u frm him? Wats matter?",Non-Spam,B6564,L5183,1,0,0
200,"Lol, oh you got a friend for the dog ?",Non-Spam,B6574,L5193,1,0,0
201,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,Spam,B6623,L5221,1,0,0
202,Hi mom we might be back later than  &lt;#&gt; ,Non-Spam,B6628,L5262,1,0,0
203,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,Spam,B6655,L5382,1,0,0
204,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,Non-Spam,B6682,L5392,1,0,0
205,A �400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a �400 reward. Just call 09066380611,Spam,B6735,L5403,1,0,0
206,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),Spam,B6774,L5405,1,0,0
207,"I think your mentor is , but not 100 percent sure.",Non-Spam,B6842,L5406,1,0,0
208,I'm in inside office..still filling forms.don know when they leave me.,Non-Spam,B6895,L5419,1,0,0
209,Yep get with the program. You're slacking.,Non-Spam,B6908,L5430,1,0,0
210,"Hey, iouri gave me your number, I'm wylie, ryan's friend",Non-Spam,B6917,L5432,1,0,0
211,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,Non-Spam,B6919,L5481,1,0,0
212,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,Non-Spam,B6932,L5528,1,0,0
213,Ok,Non-Spam,B6946,L5550,1,0,0
214,Tell me something. Thats okay.,Non-Spam,B6963,L5645,1,0,0
215,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",Non-Spam,B7050,L5653,1,0,0
216,Aiyo cos i sms � then � neva reply so i wait 4 � to reply lar. I tot � havent finish ur lab wat.,Non-Spam,B7065,L5661,1,0,0
217,Guai... � shd haf seen him when he's naughty... � so free today? Can go jogging...,Non-Spam,B7096,L5673,1,0,0
218,Good morning princess! Have a great day!,Non-Spam,B7144,L5742,1,0,0
219,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,Non-Spam,B7149,L5811,1,0,0
220,No one interested. May be some business plan.,Non-Spam,B7157,L5901,1,0,0
221,I'm home...,Non-Spam,B7194,L5929,1,0,0
222,Do I? I thought I put it back in the box,Non-Spam,B7196,L5935,1,0,0
223,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,Non-Spam,B7201,L5969,1,0,0
224,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",Non-Spam,B7202,L6003,1,0,0
225,Wat � doing now?,Non-Spam,B7329,L6074,1,0,0
226,When you guys planning on coming over?,Non-Spam,B7366,L6123,1,0,0
227,No go. No openings for that room 'til after thanksgiving without an upcharge.,Non-Spam,B7369,L6143,1,0,0
228,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",Spam,B7514,L6145,1,0,0
229,And of course you should make a stink!,Non-Spam,B7516,L6171,1,0,0
230,Are u awake? Is there snow there?,Non-Spam,B7517,L6282,1,0,0
231,You'd like that wouldn't you? Jerk!,Non-Spam,B7648,L6320,1,0,0
232,So when do you wanna gym?,Non-Spam,B7654,L6388,1,0,0
233,My birthday is on feb  &lt;#&gt;  da. .,Non-Spam,B7683,L6412,1,0,0
234,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,Non-Spam,B7706,L6422,1,0,0
235,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,Non-Spam,B7718,L6445,1,0,0
236,"Garbage bags, eggs, jam, bread, hannaford wheat chex",Non-Spam,B7725,L6481,1,0,0
237,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",Non-Spam,B7760,L6495,1,0,0
238,I think steyn surely get one wicket:),Non-Spam,B7765,L6509,1,0,0
239,X course it 2yrs. Just so her messages on messenger lik you r sending me,Non-Spam,B7769,L6537,1,0,0
240,Dude im no longer a pisces. Im an aquarius now.,Non-Spam,B7778,L6651,1,0,0
241,"Sir, waiting for your letter.",Non-Spam,B7787,L6678,1,0,0
242,Sweet heart how are you?,Non-Spam,B7812,L6693,1,0,0
243,Wishing you a wonderful week.,Non-Spam,B7829,L6845,1,0,0
244,What makes you most happy?,Non-Spam,B7831,L6937,1,0,0
245,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",Non-Spam,B7852,L7005,1,0,0
246,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",Non-Spam,B7854,L7017,1,0,0
247,Aah bless! How's your arm?,Non-Spam,B7977,L7069,1,0,0
248,"Thanks, I'll keep that in mind",Non-Spam,B7983,L7104,1,0,0
249,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,Non-Spam,B8002,L7234,1,0,0
250,But we havent got da topic yet rite?,Non-Spam,B8090,L7244,1,0,0
251,Kothi print out marandratha.,Non-Spam,B8157,L7267,1,0,0
252,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",Non-Spam,B8161,L7280,1,0,0
253,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",Non-Spam,B8167,L7294,1,0,0
254,Jus finish watching tv... U?,Non-Spam,B8205,B0004,1,0,0
255,Hahaha..use your brain dear,Non-Spam,B8210,B0071,1,0,0
256,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX �1.50,Spam,B8282,B0078,1,0,0
257,My sister going to earn more than me da.,Non-Spam,B8299,B0082,1,0,0
258,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,Non-Spam,B8341,B0115,1,0,0
259,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,Non-Spam,B8460,B0153,1,0,0
260,"yeah, that's what I was thinking",Non-Spam,B8477,B0182,1,0,0
